61
# x y z
0	58.4912	0
5	58.3	0
10	58.4175	0
15	58.4052	0
20	58.481	0
25	58.5067	0
30	58.3948	0
35	58.3592	0
40	58.3522	0
45	57.3686	0
50	56.9262	0
52.5	56.8425	0
55	56.7588	0
57.5	56.7909	0
60	56.823	0
62.5	56.74805	0
65	56.6731	0
67.5	56.73475	0
70	56.7964	0
72.5	56.8006	0
75	56.8048	0
77.5	56.91225	0
80	57.0197	0
82.5	57.02765	0
85	57.0356	0
87.5	57.02505	0
90	57.0145	0
92.5	57.1362	0
95	57.2579	0
97.5	57.14985	0
100	57.0418	0
102.5	56.98965	0
105	56.9375	0
107.5	56.85585	0
110	56.7742	0
112.5	56.8363	0
115	56.8984	0
117.5	56.94205	0
120	56.9857	0
122.5	56.96905	0
125	56.9524	0
127.5	56.85235	0
130	56.7523	0
132.5	56.79945	0
135	56.8466	0
137.5	56.91105	0
140	56.9755	0
142.5	56.76205	0
145	56.5486	0
147.5	56.6219	0
150	56.6952	0
155	56.8339	0
160	56.6551	0
165	56.6603	0
170	57.1154	0
175	56.8679	0
180	56.7221	0
185	56.6321	0
190	56.7461	0
195	56.9904	0
200	56.7614	0
345
# a b m n r
1	4	2	3	7.98458000000000e+01
2	5	3	4	9.05981000000000e+01
1	7	3	5	6.74645000000000e+01
3	6	4	5	8.49120000000000e+01
2	8	4	6	6.71056000000000e+01
4	7	5	6	1.00600000000000e+02
1	10	4	7	3.59410000000000e+01
3	9	5	7	6.66757000000000e+01
5	8	6	7	9.72284000000000e+01
2	11	5	8	3.36915000000000e+01
1	15	5	9	2.55356000000000e+01
4	10	6	8	5.55480000000000e+01
6	9	7	8	1.13957000000000e+02
3	13	6	9	3.32895000000000e+01
2	17	6	10	2.62970000000000e+01
5	11	7	9	4.44158000000000e+01
1	21	6	11	1.92164000000000e+01
7	10	8	9	7.53334000000000e+01
4	15	7	10	3.50192000000000e+01
3	19	7	11	2.47612000000000e+01
6	13	8	10	4.63813000000000e+01
8	11	9	10	8.17501000000000e+01
2	23	7	13	1.75108000000000e+01
5	17	8	11	2.97795000000000e+01
7	15	9	11	4.11006000000000e+01
1	27	7	15	1.26437000000000e+01
4	21	8	13	2.02052000000000e+01
3	25	8	15	1.41244000000000e+01
9	13	10	11	3.54235000000000e+01
6	19	9	13	2.34570000000000e+01
2	29	8	17	1.02267000000000e+01
8	17	10	13	1.80802000000000e+01
5	23	9	15	1.47182000000000e+01
